StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
1,John,Male,85,15,78,1,High,80
2,Sarah,Female,90,20,85,2,Medium,87
3,Alex,Male,78,10,65,0,Low,68
4,Michael,Male,92,25,90,3,High,92
5,Emma,Female,88,18,82,2,Medium,85
6,Olivia,Female,95,30,88,1,High,90
7,Daniel,Male,70,8,60,0,Low,62
8,Sophia,Female,85,17,77,1,Medium,78
9,James,Male,82,12,70,2,Low,72
10,Isabella,Female,91,22,86,3,High,88
11,Student11,Male,72,21,92,2,High,75
12,Student12,Male,100,14,78,2,Medium,74
13,Student13,Female,97,16,93,3,Medium,81
14,Student14,Male,82,16,63,4,Low,65
15,Student15,Male,98,15,78,3,High,81
16,Student16,Male,79,6,94,1,High,68
17,Student17,Female,80,34,82,0,Medium,69
18,Student18,Female,95,27,65,0,High,75
19,Student19,Female,90,35,90,1,Low,73
20,Student20,Female,78,19,92,3,Medium,78
21,Student21,Female,76,19,80,2,Low,64
22,Student22,Female,75,10,72,2,Low,60
23,Student23,Male,70,27,82,1,Medium,64
24,Student24,Male,86,9,72,1,High,69
25,Student25,Female,78,11,88,2,Medium,68
26,Student26,Male,91,24,92,1,Medium,81
27,Student27,Female,70,30,78,4,High,76
28,Student28,Male,73,6,74,3,Medium,62
29,Student29,Female,93,20,90,2,Low,73
30,Student30,Female,93,9,79,3,High,77
31,Student31,Male,72,9,72,2,High,65
32,Student32,Male,96,11,81,4,Medium,78
33,Student33,Male,99,13,88,2,High,84
34,Student34,Male,76,22,78,2,High,70
35,Student35,Male,76,27,90,5,Medium,81
36,Student36,Female,73,15,76,5,High,72
37,Student37,Male,82,8,68,5,Low,68
38,Student38,Male,91,15,93,4,Low,78
39,Student39,Female,71,22,87,2,Medium,65
40,Student40,Male,74,6,82,2,Medium,61
41,Student41,Male,83,14,68,2,Low,62
42,Student42,Female,77,26,83,5,High,75
43,Student43,Male,73,28,79,0,Medium,68
44,Student44,Female,71,12,63,1,High,60
45,Student45,Female,77,14,76,3,Low,61
46,Student46,Female,99,35,95,2,Medium,83
47,Student47,Male,74,14,69,5,High,72
48,Student48,Female,95,8,66,4,High,75
49,Student49,Female,79,19,60,2,Low,59
50,Student50,Female,87,14,73,5,Medium,69
51,Student51,Female,78,18,71,4,Low,64
52,Student52,Male,81,8,77,1,Low,63
53,Student53,Male,82,35,64,0,Medium,65
54,Student54,Male,94,24,66,4,High,78
55,Student55,Male,86,10,85,2,High,71
56,Student56,Male,70,18,72,1,Low,57
57,Student57,Female,74,9,69,3,High,62
58,Student58,Female,99,26,64,4,Low,75
59,Student59,Female,94,22,72,5,Low,72
60,Student60,Male,92,7,75,1,High,72
61,Student61,Female,72,23,83,4,High,76
62,Student62,Male,86,34,84,1,Low,68
63,Student63,Male,91,24,63,5,Medium,74
64,Student64,Female,85,9,78,0,Low,62
65,Student65,Female,70,28,73,3,Medium,65
66,Student66,Female,76,35,89,2,Medium,71
67,Student67,Male,70,10,84,3,Low,63
68,Student68,Female,94,8,69,5,High,75
69,Student69,Male,100,5,84,0,High,79
70,Student70,Female,92,22,91,0,High,74
71,Student71,Male,92,31,83,5,High,82
72,Student72,Female,85,20,86,2,High,79
73,Student73,Female,87,6,64,4,High,73
74,Student74,Female,79,15,90,5,Low,71
75,Student75,Male,93,26,87,2,High,85
76,Student76,Male,83,10,70,0,High,60
77,Student77,Male,78,11,68,0,High,57
78,Student78,Male,73,6,74,5,Medium,68
79,Student79,Male,71,32,86,5,Low,74
80,Student80,Female,96,15,65,0,Low,63
81,Student81,Male,78,25,92,3,Medium,73
82,Student82,Female,83,6,60,2,High,66
83,Student83,Female,90,15,68,1,Low,67
84,Student84,Female,70,31,79,0,High,63
85,Student85,Female,83,25,91,2,Medium,76
86,Student86,Male,80,32,93,1,Medium,71
87,Student87,Female,76,18,67,2,Medium,60
88,Student88,Male,75,31,67,3,High,68
89,Student89,Male,80,8,76,1,High,69
90,Student90,Female,73,16,87,0,Medium,69
91,Student91,Male,85,18,89,1,Medium,76
92,Student92,Female,82,21,70,4,Low,70
93,Student93,Female,78,16,83,4,Medium,70
94,Student94,Female,72,16,64,2,High,59
95,Student95,Male,81,19,74,5,High,79
96,Student96,Male,89,10,84,2,Medium,75
97,Student97,Female,91,22,80,1,Medium,75
98,Student98,Female,90,16,87,5,Medium,80
99,Student99,Female,100,19,76,4,Low,72
100,Student100,Female,79,15,66,1,High,66
101,Student101,Male,80,20,63,2,Low,63
102,Student102,Female,83,20,93,1,Low,71
103,Student103,Female,93,18,77,4,Medium,76
104,Student104,Female,80,5,82,3,Medium,71
105,Student105,Male,84,23,70,5,Medium,70
106,Student106,Female,94,23,62,4,High,72
107,Student107,Male,80,8,72,4,Medium,71
108,Student108,Male,77,29,87,4,Medium,74
109,Student109,Female,95,21,89,5,High,84
110,Student110,Male,75,12,86,5,Medium,76
111,Student111,Male,85,9,82,1,High,70
112,Student112,Female,85,31,89,5,Medium,79
113,Student113,Female,95,25,74,4,Low,73
114,Student114,Female,85,27,77,4,High,75
115,Student115,Female,94,9,85,5,Medium,78
116,Student116,Male,100,12,82,4,Low,78
117,Student117,Male,78,32,61,2,Medium,69
118,Student118,Female,93,8,69,4,Medium,69
119,Student119,Male,83,8,91,0,Low,61
120,Student120,Male,100,10,95,2,High,81
121,Student121,Male,71,19,75,3,Medium,62
122,Student122,Male,100,19,66,5,Low,75
123,Student123,Male,98,23,94,2,High,81
124,Student124,Male,99,24,95,1,High,83
125,Student125,Female,75,30,81,2,Low,71
126,Student126,Female,75,11,89,0,Medium,67
127,Student127,Male,79,12,70,2,High,70
128,Student128,Female,84,33,74,5,Medium,78
129,Student129,Female,80,29,77,5,Medium,79
130,Student130,Male,97,28,60,2,Medium,72
131,Student131,Male,88,9,92,0,Medium,75
132,Student132,Male,75,16,78,0,Medium,60
133,Student133,Male,81,23,72,2,High,71
134,Student134,Female,94,5,92,1,High,77
135,Student135,Female,84,8,66,0,High,66
136,Student136,Female,81,5,84,2,High,72
137,Student137,Male,87,25,73,2,Low,71
138,Student138,Male,71,14,64,3,High,62
139,Student139,Male,96,19,90,4,High,82
140,Student140,Male,70,12,70,0,Medium,60
141,Student141,Female,96,33,94,4,High,93
142,Student142,Male,71,16,76,2,Medium,64
143,Student143,Female,81,7,87,1,Low,63
144,Student144,Female,85,11,82,0,Medium,65
145,Student145,Male,95,19,81,3,High,84
146,Student146,Male,77,28,68,2,High,66
147,Student147,Male,79,28,93,5,Medium,77
